predictor,bid_shap_rank,feature,mean_abs_shap,bid_rows,median_raw_bid_price,weighted_mean_raw_bid_price,share_so_pays_weighted,share_so_receives_weighted,raw_bid_price_direction,raw_bid_price_read
Generation type,1,WIND_BID,8.85515963853384,4684,-88.0,-94.10631277483826,0.9964962880965196,0.0009140118009079,mostly negative bid (SO pays),SO usually pays
Generation type,2,CCGT_BID,5.514980324927757,17368,55.65,46.35866825620758,0.0281581702613281,0.9261650029367056,mostly positive bid (SO receives),SO usually receives
Generation type,3,BATTERY_BID,3.898939788550908,5845,42.57,19.86337158632466,0.2043047599566118,0.7833732456355256,mostly positive bid (SO receives),SO usually receives
Generation type,4,BIOMASS_BID,2.326449105416054,2465,0.0,-6.370834896820707,0.3963944427231596,0.3292430845662984,mixed,SO usually pays
Generation type,5,OTHER_BID,1.5884977567607483,2815,45.59,-47.31753572466281,0.2017906289158548,0.7900694346607833,mostly positive bid (SO receives),SO usually pays
Generation type,6,PS_BID,1.1992727106321746,2063,0.0,11.330841651667734,0.1079676135098511,0.4860460254030432,mixed,SO usually receives
Generation type,7,LOAD RESPONSE_BID,0.7097146977882715,1276,39.010000000000005,-12.843225872103549,0.2463048901328903,0.741355454036037,leans positive bid (SO receives),SO usually pays
Generation type,8,NEMO_BID,0.2756549489077267,227,-15.73,-28.260835235180743,0.6689497716894978,0.3219178082191781,leans negative bid (SO pays),SO usually pays
Generation type,9,BritNed_BID,0.270891214406257,201,-18.6,-35.86481525596401,0.6388888888888888,0.3541666666666667,leans negative bid (SO pays),SO usually pays
Generation type,10,IFA_BID,0.2319450554402594,222,-3.23,-4.711183135627079,0.5872138910812944,0.3954222573007103,leans negative bid (SO pays),SO usually pays
Generation type,11,NPSHYD_BID,0.1394578944698511,475,30.08,17.41959234901346,0.2459283772985777,0.6569595482455575,leans positive bid (SO receives),SO usually receives
Generation type,12,IFA2_BID,0.1003137700343728,104,-17.515,-21.69235608401859,0.7766990291262136,0.2135922330097087,mostly negative bid (SO pays),SO usually pays
Family ID,1,T_DRAXX_BID,1.6233916437688884,2465,0.0,-6.370834896820707,0.3963944427231596,0.3292430845662984,mixed,SO usually pays
Family ID,2,T_HOWBO_BID,0.6838272274105384,535,-65.0,-72.12346432264737,1.0,0.0,mostly negative bid (SO pays),SO usually pays
Family ID,3,T_SGRWO_BID,0.4055965405083361,541,-21.62,-23.839330143540675,1.0,0.0,mostly negative bid (SO pays),SO usually pays
Family ID,4,T_GRAI_BID,0.3689880090915932,2743,56.34,43.817106449353055,0.0,0.9888152001415094,mostly positive bid (SO receives),SO usually receives
Family ID,5,T_PEMB_BID,0.347198169114585,1912,54.0,49.03819426934838,0.0,0.9746128222036888,mostly positive bid (SO receives),SO usually receives
Family ID,6,T_DINO_BID,0.282314742348388,1044,0.0,16.28211647549787,0.032847974261006,0.504082590901146,mixed,SO usually receives
Family ID,7,T_MOWEO_BID,0.272690474348417,245,-76.27,-79.49074074074076,1.0,0.0,mostly negative bid (SO pays),SO usually pays
Family ID,8,T_PNYCW_BID,0.2609824641998219,222,-95.0,-88.05895691609977,1.0,0.0,mostly negative bid (SO pays),SO usually pays
Family ID,9,T_RCBKO_BID,0.2435902508765632,263,-151.23,-154.2262087912088,1.0,0.0,mostly negative bid (SO pays),SO usually pays
Family ID,10,T_HUMR_CC_BID,0.2039193794601672,823,5.0,3.474405031965353,0.390389771086822,0.6096102289131778,leans positive bid (SO receives),SO usually receives
Family ID,11,T_TKNEW_BID,0.1946398115981891,177,-118.87,-123.31600896860986,0.9910313901345292,0.0089686098654708,mostly negative bid (SO pays),SO usually pays
Family ID,12,T_CRUA_BID,0.1837838910373192,611,0.0,0.3121996094850375,0.2810856579846879,0.3818065315368308,mixed,SO usually receives
BMU ID,1,T_DRAXX-1_BID,0.514134637260444,481,-45.0,-39.86305988361179,0.8278580814717477,0.1071897878730993,mostly negative bid (SO pays),SO usually pays
BMU ID,2,T_DRAXX-2_BID,0.2974449507514672,729,0.0,6.771110389746714,0.1995383924878483,0.4234633334499244,mixed,SO usually receives
BMU ID,3,T_HOWBO-1_BID,0.2865313036509577,254,-65.0,-73.22821240799159,1.0,0.0,mostly negative bid (SO pays),SO usually pays
BMU ID,4,T_DRAXX-3_BID,0.2746212120816148,731,0.0,3.750373539030498,0.2851241986447752,0.4061307412293472,mixed,SO usually receives
BMU ID,5,T_HUMR-1_BID,0.2665037612714025,823,5.0,3.474405031965353,0.390389771086822,0.6096102289131778,leans positive bid (SO receives),SO usually receives
BMU ID,6,T_PNYCW-1_BID,0.2532785496906982,222,-95.0,-88.05895691609977,1.0,0.0,mostly negative bid (SO pays),SO usually pays
BMU ID,7,T_TKNWW-1_BID,0.2132739025268356,166,-115.375,-119.51597014925376,1.0,0.0,mostly negative bid (SO pays),SO usually pays
BMU ID,8,T_CLDCW-1_BID,0.1572754712746348,149,-97.1,-92.70510067114095,1.0,0.0,mostly negative bid (SO pays),SO usually pays
BMU ID,9,T_DRAXX-4_BID,0.1551458978785262,524,0.0,7.89587235755832,0.224445213202132,0.3989550541691857,mixed,SO usually receives
BMU ID,10,T_TKNEW-1_BID,0.1452342611205846,177,-118.87,-123.31600896860986,0.9910313901345292,0.0089686098654708,mostly negative bid (SO pays),SO usually pays
BMU ID,11,T_HOWBO-2_BID,0.135257101516556,154,-65.0,-73.99504708097928,1.0,0.0,mostly negative bid (SO pays),SO usually pays
BMU ID,12,T_RCBKO-1_BID,0.1350260987500781,160,-151.23,-154.69903765690376,1.0,0.0,mostly negative bid (SO pays),SO usually pays
