predictor,feature,side,years_in_top20,top20_years,best_annual_rank,mean_abs_shap_mean,direction_pattern_2023_2025,min_active_rows
Generation type,CCGT_OFFER,OFFER,3,"2023, 2024, 2025",1,10.786538448345572,+++,1573
Generation type,WIND_BID,BID,3,"2023, 2024, 2025",2,8.4747643691064,---,591
Generation type,CCGT_BID,BID,3,"2023, 2024, 2025",3,5.430350009676957,---,2054
Generation type,PS_OFFER,OFFER,3,"2023, 2024, 2025",4,4.491696434079839,+++,380
Generation type,BATTERY_OFFER,OFFER,3,"2023, 2024, 2025",3,3.978645648753514,+++,349
Generation type,BATTERY_BID,BID,3,"2023, 2024, 2025",3,3.3496005992893427,---,207
Generation type,BIOMASS_BID,BID,3,"2023, 2024, 2025",5,2.1547673396287874,---,229
Family ID,T_DINO_OFFER,OFFER,3,"2023, 2024, 2025",1,2.007250952383137,+++,89
Family ID,T_DRAXX_BID,BID,3,"2023, 2024, 2025",1,1.7076271327299102,---,110
Generation type,LOAD RESPONSE_OFFER,OFFER,3,"2023, 2024, 2025",7,1.6762336141588634,+++,246
Generation type,OTHER_OFFER,OFFER,3,"2023, 2024, 2025",8,1.508293616099274,+++,158
Generation type,OTHER_BID,BID,3,"2023, 2024, 2025",7,1.2992963719344364,---,193
Generation type,PS_BID,BID,3,"2023, 2024, 2025",8,1.2608002670308438,---,174
Family ID,T_CNQPS_OFFER,OFFER,3,"2023, 2024, 2025",1,1.0840650764739967,+++,52
Generation type,NPSHYD_OFFER,OFFER,3,"2023, 2024, 2025",9,0.9127154589226127,+++,76
BMU ID,T_RYHPS-1_OFFER,OFFER,3,"2023, 2024, 2025",1,0.9118557297249398,+++,11
Family ID,T_RYHPS_OFFER,OFFER,3,"2023, 2024, 2025",2,0.8843899931047791,+++,22
Family ID,T_CRUA_OFFER,OFFER,3,"2023, 2024, 2025",3,0.8340728444341687,+++,57
Family ID,T_SEAB_OFFER,OFFER,3,"2023, 2024, 2025",4,0.7784289334695642,+++,56
BMU ID,T_COSO-1_OFFER,OFFER,3,"2023, 2024, 2025",3,0.5379791936473538,+++,14
BMU ID,T_SEAB-1_OFFER,OFFER,3,"2023, 2024, 2025",2,0.5032234941151943,+++,14
Family ID,T_SHBA_OFFER,OFFER,3,"2023, 2024, 2025",10,0.5027232301695743,+++,59
BMU ID,T_DAMC-1_OFFER,OFFER,3,"2023, 2024, 2025",5,0.48589854796331355,+++,25
Generation type,DIESEL_OFFER,OFFER,3,"2023, 2024, 2025",14,0.4834741976407131,+++,90
Family ID,T_DAMC_OFFER,OFFER,3,"2023, 2024, 2025",7,0.45459859452409673,+++,38
BMU ID,T_CRUA-1_OFFER,OFFER,3,"2023, 2024, 2025",7,0.3856169680818084,+++,14
Generation type,OCGT_OFFER,OFFER,3,"2023, 2024, 2025",13,0.3354844979999272,+++,33
BMU ID,T_SHBA-1_OFFER,OFFER,3,"2023, 2024, 2025",13,0.24299505231547525,+++,18
Generation type,IFA_BID,BID,3,"2023, 2024, 2025",17,0.21350244943347332,---,23
Family ID,T_HOWBO_BID,BID,2,"2024, 2025",3,0.7472617789318726,---,7
Family ID,T_COSO_OFFER,OFFER,2,"2023, 2024",5,0.5570583456270138,+++,36
Generation type,LOAD RESPONSE_BID,BID,2,"2024, 2025",11,0.5557896995925565,---,76
BMU ID,T_DINO-2_OFFER,OFFER,2,"2023, 2025",1,0.47304855242718763,+++,7
BMU ID,T_DINO-1_OFFER,OFFER,2,"2024, 2025",4,0.4459184035432787,NA++,22
BMU ID,T_DRAXX-1_BID,BID,2,"2024, 2025",1,0.3916371517905893,---,4
Family ID,T_SGRWO_BID,BID,2,"2024, 2025",6,0.3881592522338359,---,20
BMU ID,T_DRAXX-3_BID,BID,2,"2023, 2024",3,0.37132922803521295,---,17
BMU ID,T_DRAXX-2_BID,BID,2,"2023, 2024",8,0.33162193918853006,---,11
Family ID,T_RCBKO_BID,BID,2,"2023, 2024",9,0.32125079011963614,---,1
Family ID,T_MOWEO_BID,BID,2,"2024, 2025",8,0.3179347369233673,---,14
BMU ID,T_HUMR-1_OFFER,OFFER,2,"2023, 2024",6,0.310486293600666,+++,12
Family ID,T_GRAI_BID,BID,2,"2023, 2024",15,0.3094934597293984,---,164
Family ID,2__GSTAT_B_OFFER,OFFER,2,"2024, 2025",16,0.2935652411343776,+++,35
BMU ID,T_HOWBO-1_BID,BID,2,"2024, 2025",6,0.29013651330665585,---,1
Generation type,NEMO_BID,BID,2,"2023, 2025",13,0.2859029717683292,---,24
